id,calories,proteins,fat,carbohydrate,name,kategori,kategori_kalori,cluster
976,67.0,9.0,2.6,6.4,Toge kedelai,Protein,Rendah,1
977,28.0,3.0,0.8,4.0,Toge seduh,Karbo,Rendah,1
978,20.0,1.0,0.2,3.5,Tomat air (juice) segar,Karbo,Rendah,1
979,20.0,1.0,0.3,4.2,Tomat Masak,Karbo,Rendah,1
980,24.0,1.3,0.5,4.7,Tomat merah segar,Karbo,Rendah,1
981,24.0,2.0,0.7,3.3,Tomat muda segar,Karbo,Rendah,1
982,189.0,11.3,15.7,0.6,Tumis bandeng,Lemak,Sedang,1
983,48.0,1.4,4.2,2.6,Tumis bayam bersantan,Lemak,Rendah,1
984,186.0,1.9,0.2,44.3,Ubi Cilembu,Karbo,Sedang,1
985,160.0,3.7,1.3,55.3,Ubi Jalar Goreng ,Karbo,Sedang,1
986,100.0,0.7,0.3,23.8,Ubi jalar kuning kukus,Karbo,Rendah,1
987,119.0,0.5,0.4,25.1,Ubi jalar kuning segar,Karbo,Sedang,1
988,83.0,1.5,0.2,18.8,Ubi jalar manis segar,Karbo,Rendah,1
989,123.0,1.8,0.7,27.9,Ubi Jalar Merah,Karbo,Sedang,1
990,151.0,1.6,0.3,35.4,Ubi jalar merah segar,Karbo,Sedang,1
991,123.0,1.8,0.7,27.9,Ubi Jalar Putih,Karbo,Sedang,1
992,114.0,1.4,9.6,25.6,Ubi Jalar Rebus,Karbo,Sedang,1
993,184.0,1.4,0.3,22.5,Ubi Jalar Sayur,Karbo,Sedang,1
994,108.0,0.5,0.4,25.6,Ubi jalar tinta/ kemayung,Karbo,Sedang,1
995,165.0,0.9,0.2,39.8,Ubi jalar tinta/ kemayung kukus,Karbo,Sedang,1
996,82.0,5.8,1.3,11.7,Uceng/ bunga melinjo segar,Karbo,Rendah,1
997,56.0,11.4,0.6,1.2,Udang besar segar,Protein,Rendah,1
998,81.0,16.5,0.3,3.0,Udang galah segar,Protein,Rendah,1
999,295.0,62.4,2.3,1.8,Udang kering,Protein,Sedang,0
1000,278.0,62.6,4.1,2.2,Udang kering mentah,Protein,Sedang,0
1001,273.0,47.8,3.8,12.5,Udang papay mentah,Protein,Sedang,0
1002,91.0,21.0,0.2,0.1,Udang segar,Protein,Rendah,1
1003,380.0,11.9,30.3,14.9,Ulat sagu panggang,Lemak,Tinggi,2
1004,241.0,5.8,21.6,5.8,Ulat sagu segar,Lemak,Sedang,1
1005,120.0,2.8,0.5,82.3,Umbi Uwi segar,Karbo,Sedang,1
1006,34.0,2.4,0.3,5.5,Umbut rotan,Karbo,Rendah,1
1007,130.0,14.0,7.2,1.5,Usus Sapi,Protein,Sedang,1
1008,101.0,2.0,0.2,19.8,Uwi,Karbo,Sedang,1
1009,363.0,8.7,0.4,78.7,Vermicelli,Karbo,Tinggi,2
1010,303.0,6.3,2.7,63.3,Wajit ,Karbo,Tinggi,2
1011,45.0,0.8,0.9,8.1,Waluh balamak ,Karbo,Rendah,1
1012,424.0,1.3,10.7,80.7,Widaran,Karbo,Tinggi,2
1013,568.0,19.3,51.1,18.1,Wijen,Lemak,Tinggi,2
1014,355.0,3.2,15.1,51.4,Wingko babat,Karbo,Tinggi,2
1015,143.0,3.1,7.8,15.0,Woku ubi,Karbo,Sedang,1
1016,452.0,14.5,42.3,2.3,Sosis daging,Lemak,Tinggi,2
1017,42.0,1.2,0.6,9.3,Wortel Segar,Karbo,Rendah,1
1018,37.0,1.0,0.6,8.3,Wortel kukus,Karbo,Rendah,1
1019,28.0,0.7,0.5,6.3,Wortel rebus,Karbo,Rendah,1
1020,254.0,3.0,1.1,58.1,Yangko,Karbo,Sedang,2
1021,52.0,3.3,2.5,4.0,Yoghurt,Karbo,Rendah,1
